algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0,0,0,0,17,1,0,0
uniform,0,0,10,1,0.79,0.79,0.0,7.0,7,1,2.0,7.0
randomForest,0,0,10,0,0,0,0,0,17,1,0,0
randomForest,0,0,10,1,0.95,0.95,0.0,7.0,7,1,2.0,7.0
0.0,0.6,0.0,10,0,0.87,0.87,0.0,11.0,17,1,2.0,11.0
0.0,0.6,0.0,10,1,1.0,1.0,0.0,7.0,7,1,2.0,7.0
0.1,0.6,0.1,10,0,0.79,0.79,2.0,11.0,17,1,2.0,11.0
0.1,0.6,0.1,10,1,0.96,0.96,0.0,7.0,7,1,2.0,7.0
0.2,0.6,0.2,10,0,0.74,0.74,5.0,11.0,17,1,2.0,11.0
0.2,0.6,0.2,10,1,0.92,0.92,0.0,7.0,7,1,2.0,7.0
uniform,0,0,20,0,0,0,0,0,23,1,0,0
uniform,0,0,20,1,0.87,0.87,0.0,10.0,9,1,4.0,10.0
randomForest,0,0,20,0,0,0,0,0,23,1,0,0
randomForest,0,0,20,1,0.97,0.97,0.0,10.0,9,1,4.0,10.0
0.0,0.6,0.0,20,0,0.93,0.93,0.0,20.0,23,1,4.0,20.0
0.0,0.6,0.0,20,1,1.0,1.0,0.0,10.0,9,1,4.0,10.0
0.1,0.6,0.1,20,0,0.71,0.71,10.0,20.0,23,1,4.0,20.0
0.1,0.6,0.1,20,1,0.97,0.97,0.0,10.0,9,1,4.0,10.0
0.2,0.6,0.2,20,0,0,0,0,0,23,1,0,0
0.2,0.6,0.2,20,1,0.95,0.95,0.0,10.0,9,1,4.0,10.0
uniform,0,0,30,0,0.7,0.7,15.0,29.0,28,1,4.0,29.0
uniform,0,0,30,1,1.0,0.5,0.0,30.0,24,2,4.0,30.0
randomForest,0,0,30,0,0.72,0.72,10.0,29.0,28,1,4.0,29.0
randomForest,0,0,30,1,1.0,0.5,0.0,30.0,24,2,4.0,30.0
0.0,0.6,0.0,30,0,0.91,0.91,0.0,29.0,28,1,4.0,29.0
0.0,0.6,0.0,30,1,1.0,0.5,0.0,30.0,24,2,4.0,30.0
0.1,0.6,0.1,30,0,0.76,0.76,5.0,29.0,28,1,4.0,29.0
0.1,0.6,0.1,30,1,1.0,0.5,0.0,30.0,24,2,4.0,30.0
0.2,0.6,0.2,30,0,0.7,0.7,12.0,29.0,28,1,4.0,29.0
0.2,0.6,0.2,30,1,1.0,0.5,0.0,30.0,24,2,4.0,30.0
uniform,0,0,40,0,0.71,0.71,13.0,29.0,28,1,6.0,29.0
uniform,0,0,40,1,1.0,0.5,0.0,30.0,24,2,6.0,30.0
randomForest,0,0,40,0,0.74,0.74,8.0,29.0,28,1,6.0,29.0
randomForest,0,0,40,1,1.0,0.5,0.0,30.0,24,2,6.0,30.0
0.0,0.6,0.0,40,0,0.96,0.96,0.0,29.0,28,1,6.0,29.0
0.0,0.6,0.0,40,1,1.0,0.5,0.0,30.0,24,2,6.0,30.0
0.1,0.6,0.1,40,0,0.77,0.77,4.0,29.0,28,1,6.0,29.0
0.1,0.6,0.1,40,1,1.0,0.5,0.0,30.0,24,2,6.0,30.0
0.2,0.6,0.2,40,0,0.71,0.71,9.0,29.0,28,1,6.0,29.0
0.2,0.6,0.2,40,1,1.0,0.5,0.0,30.0,24,2,6.0,30.0
