algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.66,0.66,9.0,11.0,17,1,2.0,11.0
uniform,0,0,10,1,0,0,0,0,7,1,0,0
randomForest,0,0,10,0,0.6,0.6,9.0,11.0,17,1,2.0,11.0
randomForest,0,0,10,1,0,0,0,0,7,1,0,0
0.0,0.6,0.0,10,0,0,0,0,0,17,1,0,0
0.0,0.6,0.0,10,1,0,0,0,0,7,1,0,0
0.1,0.6,0.1,10,0,0,0,0,0,17,1,0,0
0.1,0.6,0.1,10,1,0,0,0,0,7,1,0,0
0.2,0.6,0.2,10,0,0,0,0,0,17,1,0,0
0.2,0.6,0.2,10,1,0,0,0,0,7,1,0,0
uniform,0,0,20,0,0.33,0.33,16.0,20.0,23,1,4.0,20.0
uniform,0,0,20,1,0,0,0,0,9,1,0,0
randomForest,0,0,20,0,0.26,0.26,16.0,20.0,23,1,4.0,20.0
randomForest,0,0,20,1,0,0,0,0,9,1,0,0
0.0,0.6,0.0,20,0,0,0,0,0,23,1,0,0
0.0,0.6,0.0,20,1,0,0,0,0,9,1,0,0
0.1,0.6,0.1,20,0,0,0,0,0,23,1,0,0
0.1,0.6,0.1,20,1,0,0,0,0,9,1,0,0
0.2,0.6,0.2,20,0,0.44,0.44,16.0,20.0,23,1,4.0,20.0
0.2,0.6,0.2,20,1,0,0,0,0,9,1,0,0
uniform,0,0,30,0,0,0,0,0,28,1,0,0
uniform,0,0,30,1,0,0,0,0,24,2,0,0
randomForest,0,0,30,0,0,0,0,0,28,1,0,0
randomForest,0,0,30,1,0,0,0,0,24,2,0,0
0.0,0.6,0.0,30,0,0,0,0,0,28,1,0,0
0.0,0.6,0.0,30,1,0,0,0,0,24,2,0,0
0.1,0.6,0.1,30,0,0,0,0,0,28,1,0,0
0.1,0.6,0.1,30,1,0,0,0,0,24,2,0,0
0.2,0.6,0.2,30,0,0,0,0,0,28,1,0,0
0.2,0.6,0.2,30,1,0,0,0,0,24,2,0,0
uniform,0,0,40,0,0,0,0,0,28,1,0,0
uniform,0,0,40,1,0,0,0,0,24,2,0,0
randomForest,0,0,40,0,0,0,0,0,28,1,0,0
randomForest,0,0,40,1,0,0,0,0,24,2,0,0
0.0,0.6,0.0,40,0,0,0,0,0,28,1,0,0
0.0,0.6,0.0,40,1,0,0,0,0,24,2,0,0
0.1,0.6,0.1,40,0,0,0,0,0,28,1,0,0
0.1,0.6,0.1,40,1,0,0,0,0,24,2,0,0
0.2,0.6,0.2,40,0,0,0,0,0,28,1,0,0
0.2,0.6,0.2,40,1,0,0,0,0,24,2,0,0
