algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.33,0.33,4.5,5.5,12.0,1.0,1.0,5.5
randomForest,0,0,10,0.3,0.3,4.5,5.5,12.0,1.0,1.0,5.5
0.0,0.6,0.0,10,0.0,0.0,0.0,0,12.0,1.0,0,0
0.1,0.6,0.1,10,0.0,0.0,0.0,0,12.0,1.0,0,0
0.2,0.6,0.2,10,0.0,0.0,0.0,0,12.0,1.0,0,0
uniform,0,0,20,0.165,0.165,8.0,10.0,16.0,1.0,2.0,10.0
randomForest,0,0,20,0.13,0.13,8.0,10.0,16.0,1.0,2.0,10.0
0.0,0.6,0.0,20,0.0,0.0,0.0,0,16.0,1.0,0,0
0.1,0.6,0.1,20,0.0,0.0,0.0,0,16.0,1.0,0,0
0.2,0.6,0.2,20,0.22,0.22,8.0,10.0,16.0,1.0,2.0,10.0
uniform,0,0,30,0.0,0.0,0.0,0,26.0,1.5,0,0
randomForest,0,0,30,0.0,0.0,0.0,0,26.0,1.5,0,0
0.0,0.6,0.0,30,0.0,0.0,0.0,0,26.0,1.5,0,0
0.1,0.6,0.1,30,0.0,0.0,0.0,0,26.0,1.5,0,0
0.2,0.6,0.2,30,0.0,0.0,0.0,0,26.0,1.5,0,0
uniform,0,0,40,0.0,0.0,0.0,0,26.0,1.5,0,0
randomForest,0,0,40,0.0,0.0,0.0,0,26.0,1.5,0,0
0.0,0.6,0.0,40,0.0,0.0,0.0,0,26.0,1.5,0,0
0.1,0.6,0.1,40,0.0,0.0,0.0,0,26.0,1.5,0,0
0.2,0.6,0.2,40,0.0,0.0,0.0,0,26.0,1.5,0,0
