algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.8159073001288069,0.8159073001288069,1.0,0.0,9.0,12.0,1.0
randomForest,0,0,10,0.7900408632392744,0.7900408632392744,1.0,0.0,9.0,12.0,1.0
0.0,0.6,0.0,10,0.9970922855553624,0.9970922855553624,1.0,0.0,9.0,12.0,1.0
0.1,0.6,0.1,10,0.9527269439543773,0.9527269439543773,1.0,0.0,9.0,12.0,1.0
0.2,0.6,0.2,10,0.8914419554042348,0.8914419554042348,1.0,0.0,9.0,12.0,1.0
uniform,0,0,20,0.4361705937538136,0.4361705937538136,1.0,0.0,10.0,11.5,0.5
randomForest,0,0,20,0.2364905337447642,0.2364905337447642,0.6666666666666666,2.0,10.0,11.5,0.5
0.0,0.6,0.0,20,0.9908254697296555,0.9908254697296555,1.0,0.0,10.0,11.5,0.5
0.1,0.6,0.1,20,0.801481161168269,0.801481161168269,1.0,0.0,10.0,11.5,0.5
0.2,0.6,0.2,20,0.5710121577896251,0.5710121577896251,1.0,0.0,10.0,11.5,0.5
uniform,0,0,30,0.7587490873633624,0.7587490873633624,1.0,0.0,29.5,26.0,1.5
randomForest,0,0,30,0.7799547987520576,0.7799547987520576,1.0,0.0,29.5,26.0,1.5
0.0,0.6,0.0,30,0.9937895932429437,0.9937895932429437,1.0,0.0,29.5,26.0,1.5
0.1,0.6,0.1,30,0.9275279115233139,0.9275279115233139,1.0,0.0,29.5,26.0,1.5
0.2,0.6,0.2,30,0.8529617213739573,0.8529617213739573,1.0,0.0,29.5,26.0,1.5
uniform,0,0,40,0.7587490873633624,0.7587490873633624,1.0,0.0,29.5,26.0,1.5
randomForest,0,0,40,0.7799547987520576,0.7799547987520576,1.0,0.0,29.5,26.0,1.5
0.0,0.6,0.0,40,0.9937895932429437,0.9937895932429437,1.0,0.0,29.5,26.0,1.5
0.1,0.6,0.1,40,0.9275279115233139,0.9275279115233139,1.0,0.0,29.5,26.0,1.5
0.2,0.6,0.2,40,0.8529617213739573,0.8529617213739573,1.0,0.0,29.5,26.0,1.5
