FileName,inst#,actual,predicted,error,prediction
rabbit_oak_1_2_10\repo\oak-core\src\main\java\org\apache\jackrabbit\oak\plugins\document\util\LoggingDocumentStoreWrapper.java$query,1,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-core\src\main\java\org\apache\jackrabbit\oak\plugins\nodetype\PropertyDefinitionImpl.java$getRequiredType,2,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-jcr\src\test\java\org\apache\jackrabbit\oak\jcr\nodetype\NodeDefinitionTest.java$testGetRequiredPrimaryTypes2,3,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-jcr\src\main\java\org\apache\jackrabbit\oak\jcr\version\VersionHistoryImpl.java$removeVersionLabel,4,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-core\src\test\java\org\apache\jackrabbit\oak\plugins\index\property\Oak2077QueriesTest.java$createTestIndexNode,5,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-jcr\src\test\java\org\apache\jackrabbit\oak\jcr\util\ValuePathTuple.java$toString,6,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-core\src\test\java\org\apache\jackrabbit\oak\spi\security\user\action\PasswordValidationActionTest.java$onPasswordChange,7,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-lucene\src\main\java\org\apache\jackrabbit\oak\plugins\index\lucene\IndexDefinition.java$getSupportedTypes,8,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-core\src\main\java\org\apache\jackrabbit\oak\plugins\segment\compaction\CompactionStrategy.java$getMemoryThreshold,9,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-core\src\test\java\org\apache\jackrabbit\oak\plugins\segment\file\TarWriterTest.java$getNode,10,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-jcr\src\main\java\org\apache\jackrabbit\oak\jcr\version\ReadWriteVersionManager.java$getNodeTypeManager,11,2:valid,2:valid,,0.0
rabbit_oak_1_2_10\repo\oak-core\src\main\java\org\apache\jackrabbit\oak\plugins\document\Checkpoints.java$getCheckpoints,12,2:valid,2:valid,,0.0
