0.17800000000000002,0.024,0.667,0.024,0.01,0.014,0.038,0.23900000000000002,0.511,0.14500000000000002,0.039,0.086,0.024,0.012,0.013000000000000001,0.54,0.019
1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1
0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0
0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0
1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
