inst#,actual,predicted,error,prediction
1,2:valid,2:valid,,1
2,2:valid,2:valid,,0.835
3,2:valid,2:valid,,1
4,2:valid,2:valid,,0.864
5,2:valid,2:valid,,1
6,2:valid,2:valid,,1
7,2:valid,2:valid,,1
8,2:valid,2:valid,,1
9,2:valid,2:valid,,1
10,2:valid,2:valid,,1
11,2:valid,2:valid,,1
12,2:valid,2:valid,,1
13,2:valid,2:valid,,0.998
14,2:valid,2:valid,,0.962
15,2:valid,2:valid,,0.889
16,2:valid,2:valid,,1
17,1:bugged,2:valid,+,0.997
18,2:valid,2:valid,,1
19,2:valid,2:valid,,0.986
20,2:valid,2:valid,,1
21,2:valid,2:valid,,0.974
22,2:valid,2:valid,,0.998
23,2:valid,2:valid,,0.978
24,2:valid,2:valid,,1
25,2:valid,1:bugged,+,0.522
26,2:valid,2:valid,,1
27,2:valid,2:valid,,1
28,2:valid,2:valid,,1
29,2:valid,2:valid,,1
30,2:valid,2:valid,,1
31,2:valid,2:valid,,0.979
32,2:valid,2:valid,,1
33,2:valid,2:valid,,0.993
34,2:valid,2:valid,,1
35,2:valid,2:valid,,1
36,2:valid,2:valid,,0.994
37,2:valid,2:valid,,0.972
38,2:valid,2:valid,,1
39,2:valid,2:valid,,0.999
40,2:valid,2:valid,,1
41,2:valid,2:valid,,1
42,2:valid,2:valid,,1
43,2:valid,2:valid,,1
44,2:valid,2:valid,,1
45,2:valid,2:valid,,1
46,1:bugged,2:valid,+,0.999
47,2:valid,2:valid,,1
48,1:bugged,2:valid,+,0.513
49,2:valid,2:valid,,1
50,2:valid,2:valid,,1
51,2:valid,2:valid,,1
52,2:valid,2:valid,,1
53,2:valid,2:valid,,1
54,2:valid,2:valid,,1
55,2:valid,2:valid,,0.921
56,1:bugged,2:valid,+,0.974
57,2:valid,2:valid,,1
58,2:valid,2:valid,,0.783
59,2:valid,2:valid,,1
60,2:valid,2:valid,,0.858
61,2:valid,2:valid,,1
62,2:valid,2:valid,,0.84
63,2:valid,2:valid,,1
64,2:valid,2:valid,,1
65,2:valid,2:valid,,0.996
66,1:bugged,2:valid,+,0.591
67,2:valid,2:valid,,1
68,1:bugged,2:valid,+,0.597
69,2:valid,2:valid,,1
70,2:valid,2:valid,,1
71,2:valid,2:valid,,1
72,2:valid,2:valid,,1
73,2:valid,2:valid,,1
74,2:valid,2:valid,,1
75,2:valid,2:valid,,1
76,2:valid,2:valid,,0.995
77,2:valid,2:valid,,1
78,2:valid,2:valid,,1
79,2:valid,2:valid,,1
80,2:valid,2:valid,,0.991
81,2:valid,2:valid,,0.989
82,2:valid,2:valid,,1
83,2:valid,2:valid,,1
84,2:valid,2:valid,,1
85,2:valid,2:valid,,1
86,2:valid,2:valid,,1
87,2:valid,2:valid,,1
88,2:valid,2:valid,,1
89,2:valid,2:valid,,1
90,2:valid,2:valid,,1
91,2:valid,2:valid,,1
92,2:valid,2:valid,,1
93,2:valid,2:valid,,1
94,1:bugged,2:valid,+,0.999
95,2:valid,2:valid,,0.999
96,2:valid,2:valid,,0.991
97,2:valid,2:valid,,1
98,2:valid,2:valid,,0.953
99,2:valid,2:valid,,1
100,2:valid,2:valid,,0.932
101,2:valid,2:valid,,0.988
102,2:valid,2:valid,,1
103,2:valid,2:valid,,0.996
104,2:valid,2:valid,,1
105,2:valid,2:valid,,1
106,2:valid,2:valid,,0.999
107,2:valid,2:valid,,1
108,2:valid,2:valid,,1
109,2:valid,2:valid,,0.921
110,2:valid,2:valid,,1
111,1:bugged,2:valid,+,0.988
112,2:valid,2:valid,,0.992
113,2:valid,2:valid,,1
114,1:bugged,2:valid,+,0.967
115,2:valid,2:valid,,0.996
116,2:valid,2:valid,,0.979
117,2:valid,2:valid,,1
118,2:valid,2:valid,,0.983
119,2:valid,2:valid,,1
120,2:valid,2:valid,,0.989
121,1:bugged,2:valid,+,0.57
122,2:valid,2:valid,,1
123,2:valid,2:valid,,1
124,2:valid,2:valid,,1
125,2:valid,2:valid,,1
126,2:valid,2:valid,,0.997
127,2:valid,2:valid,,1
128,2:valid,2:valid,,1
129,2:valid,2:valid,,1
130,1:bugged,2:valid,+,0.979
131,2:valid,2:valid,,1
132,2:valid,2:valid,,0.932
133,1:bugged,2:valid,+,0.993
134,2:valid,2:valid,,1
135,2:valid,2:valid,,1
136,2:valid,2:valid,,0.984
137,2:valid,2:valid,,1
138,2:valid,2:valid,,1
139,2:valid,2:valid,,0.999
140,2:valid,2:valid,,0.997
141,2:valid,2:valid,,1
142,2:valid,2:valid,,1
143,2:valid,2:valid,,1
144,2:valid,2:valid,,1
145,2:valid,2:valid,,0.999
146,2:valid,2:valid,,1
147,2:valid,2:valid,,1
148,2:valid,2:valid,,1
149,2:valid,2:valid,,1
150,2:valid,2:valid,,1
151,1:bugged,1:bugged,,0.833
152,2:valid,2:valid,,1
153,1:bugged,2:valid,+,0.988
154,2:valid,2:valid,,1
155,2:valid,2:valid,,0.963
156,2:valid,2:valid,,1
157,2:valid,2:valid,,1
158,1:bugged,2:valid,+,0.977
159,2:valid,2:valid,,0.992
160,2:valid,2:valid,,1
161,2:valid,2:valid,,0.996
162,2:valid,2:valid,,1
163,2:valid,2:valid,,1
164,2:valid,2:valid,,0.997
165,2:valid,2:valid,,1
166,1:bugged,2:valid,+,0.763
167,2:valid,2:valid,,1
168,2:valid,2:valid,,0.998
169,2:valid,2:valid,,0.982
170,2:valid,2:valid,,0.996
171,2:valid,2:valid,,0.797
172,2:valid,1:bugged,+,0.533
173,1:bugged,1:bugged,,0.753
174,2:valid,2:valid,,0.999
175,2:valid,2:valid,,0.725
176,2:valid,2:valid,,1
177,2:valid,2:valid,,1
178,1:bugged,2:valid,+,0.593
179,1:bugged,2:valid,+,0.794
180,2:valid,2:valid,,1
181,1:bugged,2:valid,+,0.996
182,2:valid,2:valid,,1
183,2:valid,2:valid,,1
184,2:valid,2:valid,,0.994
185,2:valid,2:valid,,1
186,2:valid,2:valid,,1
187,2:valid,2:valid,,1
188,2:valid,2:valid,,0.998
189,2:valid,2:valid,,1
190,2:valid,2:valid,,1
191,2:valid,2:valid,,0.543
192,2:valid,2:valid,,0.986
193,2:valid,2:valid,,0.92
194,2:valid,2:valid,,1
195,1:bugged,2:valid,+,0.994
196,2:valid,2:valid,,0.999
197,1:bugged,2:valid,+,0.996
198,2:valid,2:valid,,0.867
199,2:valid,2:valid,,1
200,2:valid,2:valid,,1
201,2:valid,2:valid,,1
202,2:valid,2:valid,,1
203,2:valid,2:valid,,1
204,2:valid,2:valid,,1
205,2:valid,2:valid,,0.99
206,2:valid,2:valid,,0.998
207,1:bugged,2:valid,+,0.959
208,2:valid,2:valid,,1
209,2:valid,2:valid,,1
210,2:valid,2:valid,,1
211,2:valid,2:valid,,0.876
212,2:valid,2:valid,,0.983
213,1:bugged,2:valid,+,0.711
214,2:valid,2:valid,,1
215,2:valid,2:valid,,1
216,2:valid,2:valid,,0.852
217,1:bugged,2:valid,+,0.989
218,2:valid,2:valid,,0.996
219,2:valid,2:valid,,0.995
