[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
[InitialTests]
0
6
1
2
[TestDetails]
0;[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 16, 18, 19, 20, 21, 22];[0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 16, 18, 19, 20, 21, 22];1
1;[4, 8, 13, 15, 16, 17, 19];[4, 8, 13, 15, 16, 17, 19];0
2;[4, 13, 15, 16];[4, 13, 15, 16];0
3;[6, 7, 8, 16, 18, 22];[6, 7, 8, 16, 18, 22];0
4;[4, 13, 15, 16, 17, 19, 21];[4, 13, 15, 16, 17, 19, 21];0
5;[3, 4, 8, 13, 15, 16, 17, 19];[3, 4, 8, 13, 15, 16, 17, 19];0
6;[0, 2, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 18, 19];[0, 2, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 18, 19];1
7;[1, 3, 8];[1, 3, 8];0
8;[1, 2, 6, 7, 8, 9, 12, 16, 17, 18, 20];[1, 2, 6, 7, 8, 9, 12, 16, 17, 18, 20];0
9;[1, 3, 6, 7, 12, 16, 18, 22];[1, 3, 6, 7, 12, 16, 18, 22];0
10;[1];[1];0
11;[13, 15, 16, 17, 19];[13, 15, 16, 17, 19];0
12;[1, 6, 7, 8, 16, 18, 22];[1, 6, 7, 8, 16, 18, 22];0
13;[4, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 21, 22];[4, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19, 21, 22];0
14;[7];[7];0
15;[0, 1, 3, 5, 6, 7, 8, 12, 21];[0, 1, 3, 5, 6, 7, 8, 12, 21];0
16;[2, 12, 13, 15, 16, 17, 19];[2, 12, 13, 15, 16, 17, 19];0
17;[2, 6, 7, 12, 16, 17, 18, 20];[2, 6, 7, 12, 16, 17, 18, 20];0
18;[1];[1];0
19;[2, 6, 7, 12, 15, 16, 17, 18, 19, 20, 21];[2, 6, 7, 12, 15, 16, 17, 18, 19, 20, 21];0
