[Priors]
[0.319, 0.231, 0.024, 0.024, 0.01, 0.23900000000000002, 0.511, 0.086, 0.28, 0.051000000000000004, 0.024, 0.012, 0.013000000000000001, 0.01]
[Bugs]
0
1
[InitialTests]
0
1
[TestDetails]
0;[1];[1];1
1;[5, 6, 7];[5, 6, 7];0
2;[2, 3, 5, 7, 9];[2, 3, 5, 7, 9];0
3;[4, 6, 8, 10, 13];[4, 6, 8, 10, 13];0
4;[2, 13];[2, 13];0
5;[2, 3, 5, 7, 13];[2, 3, 5, 7, 13];0
6;[5, 7];[5, 7];0
7;[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13];[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13];1
8;[3, 5, 6, 7, 8, 10, 11, 12];[3, 5, 6, 7, 8, 10, 11, 12];0
9;[3, 10, 12, 13];[3, 10, 12, 13];0
10;[2, 3, 4, 7, 8, 9, 10, 13];[2, 3, 4, 7, 8, 9, 10, 13];0
