[Priors]
[0.319, 0.231, 0.024, 0.667, 0.024, 0.01, 0.020999999999999998, 0.068, 0.23900000000000002, 0.036, 0.17800000000000002, 0.511, 0.11499999999999999, 0.01, 0.063, 0.123, 0.17200000000000001, 0.086, 0.28, 0.051000000000000004, 0.024, 0.01, 0.012, 0.055, 0.013000000000000001, 0.54, 0.01, 0.01]
[Bugs]
0
1
[InitialTests]
0
7
14
1
2
3
[TestDetails]
0;[1];[1];1
1;[3, 8, 10, 11, 17, 21, 25];[3, 8, 10, 11, 17, 21, 25];0
2;[2, 4, 8, 10, 17, 19, 21];[2, 4, 8, 10, 17, 19, 21];0
3;[5, 9, 11, 15, 18, 20, 21, 23, 25, 26];[5, 9, 11, 15, 18, 20, 21, 23, 25, 26];0
4;[2, 26];[2, 26];0
5;[2, 4, 8, 10, 17, 21, 26];[2, 4, 8, 10, 17, 21, 26];0
6;[8, 10, 17, 21, 23, 25];[8, 10, 17, 21, 23, 25];0
7;[0, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26];[0, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26];1
8;[4, 8, 10, 11, 17, 18, 20, 21, 22, 24];[4, 8, 10, 11, 17, 18, 20, 21, 22, 24];0
9;[4, 9, 20, 21, 23, 24, 25, 26];[4, 9, 20, 21, 23, 24, 25, 26];0
10;[2, 4, 5, 15, 17, 18, 19, 20, 21, 26];[2, 4, 5, 15, 17, 18, 19, 20, 21, 26];0
11;[2, 4, 11, 26];[2, 4, 11, 26];0
12;[2, 4, 5, 8, 11, 15, 17, 18, 19, 20, 21, 26];[2, 4, 5, 8, 11, 15, 17, 18, 19, 20, 21, 26];0
13;[7, 8, 17, 21, 26];[7, 8, 17, 21, 26];0
14;[0, 2, 3, 4, 5, 8, 10, 11, 12, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27];[0, 2, 3, 4, 5, 8, 10, 11, 12, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27];1
15;[8, 10, 11, 17, 21, 25];[8, 10, 11, 17, 21, 25];0
16;[2, 8, 21];[2, 8, 21];0
17;[15, 18, 20, 21, 22, 24];[15, 18, 20, 21, 22, 24];0
18;[2, 4, 11, 14, 26];[2, 4, 11, 14, 26];0
19;[2, 4, 6, 14, 26];[2, 4, 6, 14, 26];0
20;[2, 6, 14, 26];[2, 6, 14, 26];0
21;[5, 9, 15, 18, 20, 21, 23, 25, 26];[5, 9, 15, 18, 20, 21, 23, 25, 26];0
22;[0, 2, 3, 4, 5, 8, 9, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25];[0, 2, 3, 4, 5, 8, 9, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25];1
23;[8, 11, 21, 26];[8, 11, 21, 26];0
24;[5, 8, 11, 15, 18, 20, 21, 22, 23, 24, 25, 26];[5, 8, 11, 15, 18, 20, 21, 22, 23, 24, 25, 26];0
25;[8, 10, 11, 17, 21, 26];[8, 10, 11, 17, 21, 26];0
26;[5, 15, 18, 20, 21, 22, 24];[5, 15, 18, 20, 21, 22, 24];0
27;[26];[26];0
28;[9, 11, 23, 25, 26];[9, 11, 23, 25, 26];0
