0,1,P,0.9774221214063172
1,22,P,0.004005828369013264
1,9,P,0.004005828368887036
1,19,P,0.002373824218239155
1,5,P,0.0016899588431853677
1,14,P,0.0016899588431851518
1,7,P,0.0010732350524762094
1,12,P,9.077652453242061E-4
1,3,P,9.077652448190577E-4
1,20,P,9.077652225024782E-4
1,21,P,6.938884205890565E-4
1,8,P,6.20775990128791E-4
1,13,P,6.207759714294578E-4
1,18,P,4.7169760959625605E-4
1,11,P,4.71697599657592E-4
1,6,P,4.3674043686715397E-4
1,15,P,4.0660802181846813E-4
1,17,P,3.803658265105042E-4
1,23,P,3.368827346262682E-4
1,16,P,3.0232264057360273E-4
1,4,P,2.741939342537943E-4
