0,P,0.7903830738716672
5,10,P,0.05714080932202961
2,P,0.0403109753604389
11,P,0.01700619323643764
9,10,P,0.014285202330913427
10,15,P,0.01428520230337905
7,P,0.009403744606558701
14,P,0.009403744606558701
10,16,P,0.00846530507760942
3,10,P,0.006026569733683398
12,P,0.005971996529139772
1,10,P,0.004680975099866373
4,5,P,0.004680975097297304
5,13,P,0.004680974920469724
5,8,P,0.0038272682342547393
6,P,0.003026737031537827
9,13,P,0.0011702437748688421
4,15,P,0.0011696325455312765
13,15,P,0.001169632545530686
8,15,P,9.568170712984266E-4
4,16,P,6.934777924617646E-4
13,16,P,6.934777924612674E-4
8,16,P,5.669711160059173E-4
