0,P,0.9093960986949605
2,P,0.02429473422333868
5,10,P,0.018038840712848652
11,P,0.0102493413055807
7,P,0.005667475765042137
14,P,0.005667475765042137
9,10,P,0.004509710178340342
10,15,P,0.004509710169647986
12,P,0.0035992199930875634
10,16,P,0.00267242084409527
3,10,P,0.001902533981591287
6,P,0.0018241625534398368
1,10,P,0.0014777418312615016
4,5,P,0.0014777418304504698
5,13,P,0.0014777417746275894
5,8,P,0.0012082342350802134
9,13,P,3.6943545778451623E-4
4,15,P,3.6924249816790974E-4
13,15,P,3.692424981677233E-4
8,15,P,3.0205856279029707E-4
4,16,P,2.1892471570739304E-4
13,16,P,2.189247157072361E-4
8,16,P,1.7898769324000018E-4
