[Priors]
[0.665, 0.022, 0.622, 0.025, 0.06999999999999999, 0.224, 0.033, 0.044000000000000004, 0.14900000000000002, 0.078, 0.04, 0.08499999999999999, 0.01, 0.049, 0.031, 0.521, 0.028999999999999998, 0.013000000000000001]
[Bugs]
0
[InitialTests]
0
1
[TestDetails]
0;[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];[0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];1
1;[2, 5, 10, 11, 13, 15];[2, 5, 10, 11, 13, 15];0
2;[7, 9, 15];[7, 9, 15];0
3;[1, 3, 5, 9, 11, 12, 13, 14, 16];[1, 3, 5, 9, 11, 12, 13, 14, 16];0
4;[1, 3, 5, 8, 9, 11, 16];[1, 3, 5, 8, 9, 11, 16];0
5;[2, 3, 5, 8, 9, 11, 12, 13, 15, 16];[2, 3, 5, 8, 9, 11, 12, 13, 15, 16];0
6;[1, 3, 5, 6, 9, 10];[1, 3, 5, 6, 9, 10];0
7;[1, 3, 11, 13, 14];[1, 3, 11, 13, 14];0
8;[0, 1, 3, 5, 9, 11, 16, 17];[0, 1, 3, 5, 9, 11, 16, 17];1
9;[1, 5, 9, 11];[1, 5, 9, 11];0
